timestamp,provider,model,technique,latency_ms,input_tokens_est,context_tokens_est,total_est,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,retry_count,backoff_ms_total,overflow_handled,cost_estimate_usd,notes
2026-02-01T10:32:29.946545,groq,llama-3.3-70b-versatile,cot,965,246,0,249,278,278,556,0,0,False,N/A,
2026-02-01T10:33:41.435702,groq,llama-3.3-70b-versatile,cot,919,246,0,249,278,290,568,0,0,False,N/A,
